Title,Year,Sample Name,Paper Type(1 for material papers 0 for fuel cell papers),Pt Content wt/%,Zn Content wt/%,Mn Cotent wt/%,Cu Cotent wt/%,Co Cotent wt/%,Fe Cotent wt/%(ICP for metal),Fe,N Content at/%,O Content at/%,S Content at/%,Pyridinic N+metal N Content at/%,Pyrrolic N Content at/%,Graphitic N Content at/%,Oxidized N Content at/%,sum,Pyridinic N+metal N Content ratio at/%,Pyrrolic N Content ratio at/%,Graphitic N Content ratio at/%,Oxidized N Content ratio at/%,Precursor Type(mg),FeC2O4﹞2H2O,Fe(acac)3,Fe(NO3)3,Fe(NO3)3.9H2O,FeCl2,FeCl3,Fe(SCN)3,FeSO4.7H2O,Fe(Ac)2,Ferrocene,Ferrocene(diffusion),"Tris-1,10phenanthroline iron(II) perchlorate",Fe powder,FePc,PFeTTPP,FeTMPPCl,Fe每corrole ,Fe(acac)3,hemin,ZnO,CoTMPP,Co(NO3)2.6H2O,Co(Ac)2,CoCl2,VB12,Mn(Ac)2,H2PtCl6,TMPP,Zinc nitrate hexahydrate,ZnCl2,imidazole,2-methylimidazole,H3BTT.2HCl,purchased ZIF-8,furfuryl alcohol,mPDA,nicarbazin,EDA(ethylenediamine ),ammonium peroxidisulfate ,PANI(by aniline),PAN powder,triethylenetetramine,polyimide,poly(methyl methacrylate),Pyrrole(monomer),polyacrylonitrile-polymethacrylic acid copolymer ,MWCNT,CNF,PSS coated GO ,GO,Graphene nano-platelets (GNP) ,PEI,C3N4,melamine,cyanamide,dicyandiamide ,"1,10-phenanthroline",Vulcan XC-72R,acid-treated KJ600,KJ600,BP2000,EC300,ZnO,SBA-15,MMT,SiO2,NaCl,OMS,PTFE,Fe3O4 microspheres,ZIF-NC,CTAB,F127,PVP,NaOH,Tetraethyl orthosilicate ,PmPDA-KJ600,First Pyrolysis Temperature in amonia /⊥,First Pyrolysis Time amonia/h,First Pyrolysis Temperature in inert atomosphere/⊥,First Pyrolysis Time inert/h,First Pyrolysis Temperature in H2 atomosphere/⊥,First Pyrolysis Time H2/h,Rising Rate ⊥/min,Acid Wash (1 for yes 0 for no),Acid concentration (M),Acid wash temperature/⊥,Acid wash time/h,Second Pyrolysis temperature inert/⊥,Second Pyrolysis time inert,Second Pyrolysis temperature amonia/⊥,Second Pyrolysis time amonia/h,Second Pyrolysis temperature H2/⊥,Second Pyrolysis time H2/h,Raman ID/IG ratio ,BET Surface Area cm2/g,Micropore ratio,Mesopore ratio,Macropore ratio,Onset Potential in Acid Condition (vs. RHE),Half Wave Potential in Acid Condition (vs. RHE),Durability in O2 mV/10000Cycle,Durability in N2 mV/10000Cycle,I/C Ratio(ionomer/catalyst),Effective Area cm2,Cathodic Loading Amount mg cm-2,Anodic Platinum Loading Amount mgPt cm-2,Anodic catalyst type x wt% Pt/C,Membrane,Membrane Thickness,Hot Press Temperature ⊥,Hot Press Time min,Hot Press Pressure Mpa,Humidity %,Spray(1 for yes 0 for no),Operating Temperature ⊥,Flowing rate of H2 ml min-1 ,Flowing rate of O2 ml min-1 ,Back Pressure Mpa,Maximum Power Density mW cm-2 ,higher than 700,Current density at 0.6V mA/cm2,Current density at 0.8V mA/cm2,Open Circuit Voltage V,Voltage 100mA cm0,Voltage 200mA cm0,Voltage 300mA cm0,Voltage 400mA cm0,Voltage 500mA cm0,Voltage 600mA cm0,Voltage 700mA cm0,Voltage 800mA cm0,Voltage 900mA cm0,Voltage 1000mA cm0,Voltage 1100mA cm0,Voltage 1200mA cm0,Voltage 1300mA cm0,Voltage 1400mA cm0,Voltage 1500mA cm0,Voltage 1600mA cm0,Voltage 1700mA cm0,Voltage 1800mA cm0,Voltage 1900mA cm0,Voltage 2000mA cm0,Voltage 2100mA cm0,Voltage 2200mA cm0,Voltage 2300mA cm0,Voltage 2400mA cm0,Voltage 2500mA cm0,Voltage 2600mA cm0,Voltage 2700mA cm0,Voltage 2800mA cm0
Studies of oxygen reduction reaction active sites and stability of nitrogen-modified carbon composite catalysts for PEM fuel cells,2010,NMCC-SiO2-1000-10,0,0,0,0,0,0,,,0.019,,0,0.001995,,0.008398,0.008607,0.019,0.105,0,0.442,0.453,FeSO4/Co(NO3)2/EDA/SiO2,,,,,,,,470,,,,,,,,,,,,,,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,1000,1,,,,1,1,80,8,1000,10,,,,,,,,,,,,,,0.33,5,2,0.5,,Nafion 112,50,140,3,1.5,100,0,75,300,400,0.2068,300,0,90,0,0.8,0.58,0.525,0.47,0.435,0.41,0.38,0.36,0.335,0.315,0.295,0.27,0.245,0.225,0.20586,0.18828,0.1721,0.15714,0.14327,0.13039,0.11838,0.10716,0.09666,0.0868,0.07754,0.06882,0.06059,0.05281,0.04545
Cyanamide-derived non-precious metal catalyst for oxygen reduction,2010,CM-FeSO4-KB-1050,0,0,0,0,0,0,0.12,12,0.009,,0.055,0.002,,0.0055,,0.0075,0.266666667,0,0.733333333,0,cyanamide/FeSO4/oxidized carbon,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,1000,,,,,,,,,,,,,,,,,,,,,1050,,,,,1,1,80,8,1050,,,,,,,,,,,,,,,0.6,5,4,0.25,,Nafion 117,175,120,1.5,,100,0,80,300,500,0.2068,360,0,450,75,1,0.78,0.715,0.67,0.62,0.575,0.525,0.485,0.44,0.4,0.35,0.3033,0.26239,0.22625,0.1941,0.1653,0.13936,0.11588,0.09452,0.07501,0.05711,0.04063,0.02542,0.01132,0,0,0,0,0
Cyanamide-derived non-precious metal catalyst for oxygen reduction,2010,CM-FeSO4-KB-1000,0,0,0,0,0,0,0.12,12,0.011,,0.051,0.0025,,0.0075,,0.01,0.25,0,0.75,0,cyanamide/FeSO4/oxidized carbon,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,1000,,,,,,,,,,,,,,,,,,,,,1000,,,,,1,1,80,8,1000,,,,,,,,,,,,,,,0.6,5,4,0.25,,Nafion 117,175,120,1.5,,100,0,80,300,500,0.2068,292.5,0,300,50,1,0.75,0.675,0.6,0.545,0.49,0.44,0.4,0.36,0.325,0.29195,0.26241,0.23583,0.21179,0.18995,0.17001,0.15175,0.13495,0.11945,0.1051,0.09178,0.07938,0.06781,0.05698,0.04684,0.03731,0.02835,0.0199,0.01192
Atomically dispersed manganese catalysts for oxygen reduction in proton-exchange membrane fuel cells,2018,20Mn-NC-second,0,0,0,0.0303,0,0,,,0.013,0.011,0,0.0039,0,0.0078,0.001248,0.012948,0.301204819,0,0.602409639,0.096385542,ZIF-8/Mn(Ac)2,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,32,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1,,,,1,1,80,5,1100,1,,,,,1.38,658,0.21283,0.52152,0.26565,1,0.8,10,,1.857,5,4,0.25,,Nafion 212,50,,,,100,1,80,200,200,0.15,450,0,550,80,0.97,0.78,0.725,0.68,0.635,0.61,0.58,0.55,0.525,0.5,0.47,0.445,0.42,0.397,0.365,0.345,0.32,0.298,0.27,0.245,0.22,0.19,0.16,0.13156,0.10592,0.0827,0.06157,0.04225,0.02452
Cyanamide-derived non-precious metal catalyst for oxygen reduction,2010,CM-FeSO4-KB-900,0,0,0,0,0,0,0.12,12,0.0155,,0.004,0.005,,0.009,,0.014,0.357142857,0,0.642857143,0,cyanamide/FeSO4/oxidized carbon,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,1000,,,,,,,,,,,,,,,,,,,,,900,,,,,1,1,80,8,900,,,,,,,,,,,,,,,0.6,5,4,0.25,,Nafion 117,175,120,1.5,,100,0,80,300,500,0.2068,328.5,0,400,75,1,0.78,0.71,0.65,0.6,0.54,0.495,0.44,0.4,0.365,0.325,0.28738,0.25398,0.22414,0.1973,0.17305,0.15102,0.13092,0.11251,0.09559,0.07997,0.06552,0.05211,0.03963,0.02799,0.0171,0.0069,0,0
Studies of oxygen reduction reaction active sites and stability of nitrogen-modified carbon composite catalysts for PEM fuel cells,2010,NMCC-SiO2-1000-3,0,0,0,0,0,0,,,0.0238,,0,0.0053074,,0.0103054,0.0081872,0.0238,0.223,0,0.433,0.344,FeSO4/Co(NO3)2/EDA/SiO2,,,,,,,,470,,,,,,,,,,,,,,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,1000,1,,,,1,1,80,8,1000,3,,,,,,,,,,,,,,0.33,5,2,0.5,,Nafion 112,50,140,3,1.5,100,0,75,300,400,0.2068,350,0,150,0,0.8,0.615,0.55,0.51,0.48,0.45,0.425,0.4,0.375,0.355,0.335,0.31,0.29,0.27,0.25,0.235,0.21,0.18619,0.16455,0.14478,0.12667,0.11,0.09462,0.08037,0.06714,0.05483,0.04333,0.03258,0.0225
Studies of oxygen reduction reaction active sites and stability of nitrogen-modified carbon composite catalysts for PEM fuel cells,2010,NMCC-C-800-3,0,0,0,0,0,0,,,0.0164,,0,0.0062976,,0.0064944,0.003608,0.0164,0.384,0,0.396,0.22,FeSO4/Co(NO3)2/EDA/EC300,,,,,,,,470,,,,,,,,,,,,,,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,800,1,,,,1,1,80,8,800,3,,,,,,,,,,,,,,0.33,5,2,0.5,,Nafion 112,50,140,3,1.5,100,0,75,300,400,0.2068,350,0,150,0,0.8,0.64,0.55,0.5,0.46,0.43,0.4,0.38,0.355,0.34,0.325,0.3,0.285,0.27,0.25,0.235,0.225,0.21531,0.20619,0.1976,0.18949,0.18183,0.17457,0.16769,0.16115,0.15494,0.14903,0.14339,0.13801
Shape Fixing via Salt Recrystallization A Morphology-Controlled Approach To Convert Nanostructured Polymer to Carbon Nanomaterial as a Highly Active Catalyst for Oxygen Reduction Reaction ,2015,CPANI-Fe-NaCl,0,0,0,0,0,0,0.121958987,12.1958987,0.03793144,0.28164094,0,0.006410339,0.004475858,,0.015589641,0.026475838,0.242120344,0.169054441,0,0.588825215,PANI/NaCl/FeCl2.6H2O,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,3,,,6,1,0.5,80,,,,,,,,1.028,265.7723,,,,0.93,0.73,,,0.5,0.95,4,0.3,0.4,Nafion112,50,137,2,5,100,1,80,150,200,0.2,600,0,350,20,0.85,0.69,0.645,0.62,0.585,0.57,0.545,0.525,0.501,0.48,0.47,0.45,0.43,0.42,0.395,0.375,0.368,0.348,0.33,0.32,0.295,0.28,0.26556,0.25216,0.23968,0.22805,0.21717,0.20697,0.19739
In Situ Polymer Graphenization Ingrained with Nanoporosity in a Nitrogenous Electrocatalyst Boosting the Performance of Polymer-Electrolyte-Membrane Fuel Cells,2017,Fe-N-C-Phen,1,0,0,0,0,0,0.0129,1.29,0.0189,0.0398,0,0.0067,0.0036,0.0065,0.0021,0.0189,0.354497354,0.19047619,0.343915344,0.111111111,KJ600/Phen/FeAc,,,,,,,,,11.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.17,,,194.17,,,,,,,,,,,,,,,,,,900,0.25,900,3,,,,1,1,25,8,,,,,,,0.81,416,0.19472,0.4991,0.30619,0.83,0.67,,,0.55,5,4,0.2,0.282,Nafion 115,125,120,5,5.443,100,0,80,300,400,0.1378,560,0,700,100,0.92,0.83,0.8,0.78,0.77,0.75,0.735,0.72,0.56,0.545,0.51,0.48,0.45,0.425,0.4,0.375,0.34,0.31,0.28,0.255,0.235,0.2,0.17,0.15,0.125,0.10119,0.07955,0.05978,0.04167
Reactive Multifunctional Template-Induced Preparation of Fe-N-Doped Mesoporous Carbon Microspheres Towards Highly Efficient Electrocatalysts for Oxygen Reduction,2016,Fe-NMCSs,1,0,0,0,0,0,0.005,0.5,0.0199,,0,0.006766,0.000796,0.01194,0.000398,0.0199,0.34,0.04,0.6,0.02,Fe3O4 MSs/HCl/Pyrrole/CTAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967,,,,,,,,,,,,,,,,,,,,,,,,,150,,500,,,,,,,,950,1,,,3,0,0,,,,,,,,,,674,0.04448,0.78901,0.16651,0.91,0.735,29,,0.33,1,4,0.3,0.4,Nafion 211,25,130,2,3,100,0,80,300,200,0.1,506,0,550,140,1.07,0.81,0.775,0.74,0.69,0.65,0.62,0.58,0.54,0.5,0.455,0.4,0.34,0.25,0.15,0.05909,0,0,0,0,0,0,0,0,0,0,0,0,0
